roll	face	eyes	hair	body	clothing
1	Angular	Bright	Braided	Bulky	Colorful
2	Brave	Charming	Covered	Calloused	Comfortable
3	Concerned	Concerned	Cropped	Curvy	Common
4	Eager	Dark	Curly	Delicate	Dark
5	Freckled	Crafty	Excessive	Fat	Dirty
6	Glowering	Dim	Fancy	Fit	Disheveled
7	Glowing	Flirtatious	Long	Knobby	Drab
8	Hard	Guilty	Messy	Large	Elegant
9	Haunted	Haunting	Natural	Maimed	Foreign
10	Laughing	Indifferent	Oiled	Scarred	Flowing
11	Noble	Judging	Perfumed	Soft	Loose
12	Pinched	Large	Shaved	Scrawny	Minimal
13	Rosy	Peaceful	Shiny	Short	Patched
14	Round	Piercing	Shorn	Stubby	Patterned
15	Scarred	Restless	Spiky	Sweaty	Strange
16	Simpering	Smouldering	Stylish	Tall	Tailored
17	Shrouded	Solemn	Swooping	Tanned	Tattered
18	Thoughtful	Tired	Tangled	Tattooed	Tawdry
19	Worried	Unusual	Tossed	Thin	Tight
20	Wrinkled	Vibrant	Wild	Wiry	Unkempt
